"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Age Bracket","Percentage","Percentage: Lower bound","Percentage: Upper bound","Estimated number of people (thousands)","Estimated number of people (thousands): lower bound","Estimated number of people (thousands): upper bound","Note"
"Used the internet in the last 3 months","2019","Year","White","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","90.5","90.2","90.8","42296","42153","42438",""
"Used the internet in the last 3 months","2019","Year","Mixed/Multiple ethnic groups","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","96.0","94.0","98.1","547","535","559",""
"Used the internet in the last 3 months","2019","Year","Indian","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","90.4","88.3","92.6","1077","1052","1103",""
"Used the internet in the last 3 months","2019","Year","Pakistani","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","91.1","88.7","93.5","767","747","787",""
"Used the internet in the last 3 months","2019","Year","Bangladeshi","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","91.9","88.2","95.6","354","340","368",""
"Used the internet in the last 3 months","2019","Year","Chinese","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","98.6","96.9","100","265","260","269",""
"Used the internet in the last 3 months","2019","Year","Any other Asian background","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","95.6","93.6","97.6","620","607","633",""
"Used the internet in the last 3 months","2019","Year","Black/African/Caribbean/Black British","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","92.8","91.0","94.5","1376","1351","1402",""
"Used the internet in the last 3 months","2019","Year","Other ethnic group","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","94.5","92.4","96.5","796","779","813",""
"Used the internet in the last 3 months","2018","Year","White","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","89.3","89.0","89.6","41825","41678","41973",""
"Used the internet in the last 3 months","2018","Year","Mixed/Multiple ethnic groups","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","97.9","96.3","99.4","510","502","518",""
"Used the internet in the last 3 months","2018","Year","Indian","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","92.7","90.8","94.5","1087","1066","1108",""
"Used the internet in the last 3 months","2018","Year","Pakistani","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","92.8","90.7","94.9","779","761","796",""
"Used the internet in the last 3 months","2018","Year","Bangladeshi","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","90.7","86.8","94.6","320","306","333",""
"Used the internet in the last 3 months","2018","Year","Chinese","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","97.6","95.5","99.7","303","296","309",""
"Used the internet in the last 3 months","2018","Year","Any other Asian background","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","96.4","94.5","98.2","576","565","587",""
"Used the internet in the last 3 months","2018","Year","Black/African/Caribbean/Black British","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","91.2","89.4","93","1352","1325","1378",""
"Used the internet in the last 3 months","2018","Year","Other ethnic group","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","95.4","93.6","97.2","784","769","798",""
"Used the internet in the last 3 months","2017","Year","White","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","88.4","88.1","88.7","40885","40745","41025",""
"Used the internet in the last 3 months","2017","Year","Mixed/Multiple ethnic groups","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","96.2","94.5","97.9","591","581","602",""
"Used the internet in the last 3 months","2017","Year","Indian","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","90.6","88.9","92.4","1094","1073","1115",""
"Used the internet in the last 3 months","2017","Year","Pakistani","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","90.3","88.2","92.4","759","741","777",""
"Used the internet in the last 3 months","2017","Year","Bangladeshi","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","87.0","83.2","90.9","316","302","330",""
"Used the internet in the last 3 months","2017","Year","Chinese","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","98.3","96.5","100","275","270","280",""
"Used the internet in the last 3 months","2017","Year","Any other Asian background","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","93.1","90.9","95.2","562","549","575",""
"Used the internet in the last 3 months","2017","Year","Black/African/Caribbean/Black British","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","92.1","90.6","93.6","1394","1371","1417",""
"Used the internet in the last 3 months","2017","Year","Other ethnic group","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","UK","UK","16+","94.1","92.4","95.8","838","822","853",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","16+","88.9","88.6","89.2","46,714","46,566","46,861",""
"Used the internet in the last 3 months","2017","Year","All","All","North East","Region","16+","85","83.4","86.6","1,817","1,783","1,851",""
"Used the internet in the last 3 months","2017","Year","All","All","North West","Region","16+","88.1","87.2","89","5,071","5,021","5,121",""
"Used the internet in the last 3 months","2017","Year","All","All","Yorkshire and the Humber","Region","16+","86.8","85.8","87.8","3,765","3,721","3,809",""
"Used the internet in the last 3 months","2017","Year","All","All","East Midlands","Region","16+","87.8","86.7","88.9","3,326","3,285","3,366",""
"Used the internet in the last 3 months","2017","Year","All","All","West Midlands","Region","16+","86.4","85.4","87.5","3,974","3,927","4,022",""
"Used the internet in the last 3 months","2017","Year","All","All","East of England","Region","16+","90.3","89.5","91.2","4,427","4,385","4,469",""
"Used the internet in the last 3 months","2017","Year","All","All","London","Region","16+","92.7","92","93.4","6,497","6,447","6,548",""
"Used the internet in the last 3 months","2017","Year","All","All","South East","Region","16+","91.6","90.9","92.3","6,593","6,544","6,641",""
"Used the internet in the last 3 months","2017","Year","All","All","South West","Region","16+","89.2","88.3","90.2","3,986","3,945","4,027",""
"Used the internet in the last 3 months","2017","Year","All","All","Wales","Region","16+","86.9","85.5","88.2","2,188","2,154","2,222",""
"Used the internet in the last 3 months","2017","Year","All","All","Scotland","Region","16+","87.5","86.4","88.5","3,845","3,799","3,891",""
"Used the internet in the last 3 months","2017","Year","All","All","Northern Ireland","Region","16+","84","82.4","85.6","1,223","1,200","1,246",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","16+","88.4","88.1","88.7","40,885","40,745","41,025",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","North East","Region","16+","84.7","83","86.3","1,752","1,719","1,786",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","North West","Region","16+","87.8","86.9","88.7","4,589","4,541","4,637",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","86.4","85.3","87.5","3,395","3,352","3,437",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","East Midlands","Region","16+","87.5","86.4","88.7","3,003","2,964","3,042",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","West Midlands","Region","16+","86.1","84.9","87.2","3,298","3,254","3,342",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","East of England","Region","16+","89.8","88.9","90.7","4,037","3,996","4,078",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","London","Region","16+","92.7","91.8","93.6","3,969","3,929","4,009",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","South East","Region","16+","91.2","90.5","91.9","6,056","6,008","6,104",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","South West","Region","16+","89.2","88.2","90.1","3,817","3,777","3,858",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","Wales","Region","16+","86.7","85.3","88","2,100","2,066","2,133",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","Scotland","Region","16+","87.2","86.1","88.3","3,668","3,622","3,713",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","Northern Ireland","Region","16+","83.8","82.2","85.4","1,201","1,178","1,223",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","16+","94.9","93.7","96.2","1,429","1,410","1,448",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","North East","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","North West","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","East Midlands","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","West Midlands","Region","16+","91.5","86.4","96.6","128","121","135",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","East of England","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","London","Region","16+","94.1","91.9","96.3","598","584","612",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","South East","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","South West","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","Wales","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","Scotland","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","Northern Ireland","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","Region","16+","91.2","90.2","92.3","3,006","2,972","3,040",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","North East","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","North West","Region","16+","89.6","86","93.2","269","258","280",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","88.3","84.3","92.3","224","214","234",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","East Midlands","Region","16+","88.3","83.7","92.9","188","178","198",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","West Midlands","Region","16+","87.2","83.9","90.4","409","394","424",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","East of England","Region","16+","94.9","91.7","98.1","192","186","199",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","London","Region","16+","92","90.3","93.7","1,186","1,164","1,208",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","South East","Region","16+","94.6","92","97","278","270","285",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","South West","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","Wales","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","Scotland","Region","16+","92.6","86.9","98.2","97","91","103",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","Northern Ireland","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","16+","92.1","90.6","93.6","1,394","1,371","1,417",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","North East","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","North West","Region","16+","88.4","82","94.8","96","89","103",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","East Midlands","Region","16+","91","83.8","98.2","68","63","74",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","West Midlands","Region","16+","88.8","83.5","94.1","140","132","148",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","East of England","Region","16+","95.7","91.5","?","96","92"," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","London","Region","16+","92.8","90.6","94.9","744","727","761",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","South East","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","South West","Region","16+","69.6","54.7","84.5","29","23","35",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","Wales","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","Scotland","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","Northern Ireland","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","16-24","99.2","98.9","99.4","7,033","7,017","7,050",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","25-34","99.1","98.9","99.3","8,809","8,790","8,828",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","35-44","98.4","98.1","98.7","8,110","8,088","8,132",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","45-54","96.2","95.8","96.6","8,800","8,764","8,837",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","55-64","90","89.4","90.7","6,882","6,831","6,932",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","65-74","77.5","76.6","78.4","5,028","4,967","5,089",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","75+","40.5","38.6","42.5","2,050","1,951","2,150",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","16-24","99.2","99","99.5","5,792","5,777","5,807",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","25-34","99.3","99.1","99.5","7,324","7,308","7,339",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","35-44","98.6","98.3","98.9","6,711","6,692","6,730",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","45-54","96.4","96","96.8","7,802","7,769","7,835",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","55-64","90.8","90.2","91.5","6,400","6,354","6,447",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","65-74","78.1","77.1","79","4,869","4,810","4,928",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","75+","41","38.9","43","1,987","1,889","2,085",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","16-24","99.3","98.2","?","346","343"," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","25-34","98.1","96.5","99.7","412","405","418",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","35-44","98.7","97.5","?","325","321"," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","45-54","94.9","91.7","98.1","194","188","201",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","55-64","89","83.1","95","102","96","109",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","65-74"," ?","?","?"," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","75+"," ?","?","?"," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","16-24","98.9","98","99.9","604","599","610",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","25-34","98.7","97.9","99.6","799","792","806",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","35-44","96.7","95.4","98","762","752","773",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","45-54","93","90.7","95.3","490","477","502",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","55-64","73.1","68","78.2","229","213","245",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","65-74","62","54.6","69.4","95","84","107",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","75+","28.6","18.4","38.8","26","17","36",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","16-24","99.1","97.8","?","291","287"," ? ",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","25-34","97.3","95.1","99.6","275","269","281",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","35-44","98.3","96.9","99.8","312","307","317",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","45-54","96.9","94.9","99","315","308","321",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","55-64","88.4","83.2","93.5","150","141","158",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","65-74","55.8","42.1","69.5","28","21","34",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","75+","31","15.2","46.9","24","12","36",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","16+","89.8","89.5","90.1","47535","47379","47690",""
"Used the internet in the last 3 months","2018","Year","All","All","North East","Region","16+","87.6","86.1","89.2","1879","1846","1913",""
"Used the internet in the last 3 months","2018","Year","All","All","North West","Region","16+","89","88.1","89.9","5140","5087","5193",""
"Used the internet in the last 3 months","2018","Year","All","All","Yorkshire and the Humber","Region","16+","87.9","86.8","89","3831","3784","3877",""
"Used the internet in the last 3 months","2018","Year","All","All","East Midlands","Region","16+","88.4","87.3","89.6","3372","3330","3415",""
"Used the internet in the last 3 months","2018","Year","All","All","West Midlands","Region","16+","88.7","87.7","89.7","4102","4054","4150",""
"Used the internet in the last 3 months","2018","Year","All","All","East of England","Region","16+","90.6","89.7","91.5","4482","4437","4528",""
"Used the internet in the last 3 months","2018","Year","All","All","London","Region","16+","92.6","91.8","93.4","6578","6521","6635",""
"Used the internet in the last 3 months","2018","Year","All","All","South East","Region","16+","92","91.2","92.7","6670","6618","6723",""
"Used the internet in the last 3 months","2018","Year","All","All","South West","Region","16+","89.8","88.8","90.7","4035","3993","4078",""
"Used the internet in the last 3 months","2018","Year","All","All","Wales","Region","16+","88.9","87.5","90.3","2247","2212","2283",""
"Used the internet in the last 3 months","2018","Year","All","All","Scotland","Region","16+","89.2","88.2","90.3","3943","3897","3989",""
"Used the internet in the last 3 months","2018","Year","All","All","Northern Ireland","Region","16+","85.6","84","87.1","1254","1231","1277",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","16+","89.3","89","89.6","41825","41678","41973",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","North East","Region","16+","87.1","85.5","88.7","1791","1758","1824",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","North West","Region","16+","88.6","87.6","89.6","4682","4631","4733",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","87.5","86.4","88.6","3465","3420","3510",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","East Midlands","Region","16+","88","86.8","89.2","3031","2990","3073",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","West Midlands","Region","16+","87.9","86.7","89","3443","3398","3489",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","East of England","Region","16+","90.2","89.3","91.2","4146","4102","4191",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","London","Region","16+","92.7","91.7","93.7","4154","4110","4199",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","South East","Region","16+","91.4","90.6","92.2","6065","6013","6117",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","South West","Region","16+","89.5","88.5","90.5","3851","3809","3893",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","Wales","Region","16+","88.7","87.2","90.1","2169","2134","2205",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","Scotland","Region","16+","89","87.9","90.1","3806","3760","3851",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","Northern Ireland","Region","16+","85.3","83.7","86.9","1221","1198","1244",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","16+","96.4","95.1","97.6","1294","1277","1310",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","North East","Region","16+","?","?","?","?","?","?",""
