"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Age Bracket","Percentage","Percentage: Lower bound","Percentage: Upper bound","Estimated number of people (thousands)","Estimated number of people (thousands): lower bound","Estimated number of people (thousands): upper bound","Note"
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","North West","Region","16+","95.7","91","100","104","99","109",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","East Midlands","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","West Midlands","Region","16+","98.4","95.5","100","92","89","95",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","East of England","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","London","Region","16+","95.4","93","97.8","551","537","565",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","South East","Region","16+","99.4","98.1","100","162","160","164",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","South West","Region","16+","92","84.9","99.1","65","60","70",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","Wales","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","Scotland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","Northern Ireland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","Region","16+","93.6","92.6","94.6","3064","3030","3097",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","North East","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","North West","Region","16+","92.7","89.2","96.3","264","254","274",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","91.1","87.1","95.1","242","231","253",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","East Midlands","Region","16+","88.9","83.9","93.9","184","173","194",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","West Midlands","Region","16+","94.4","92","96.9","422","411","432",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","East of England","Region","16+","96.3","93","99.5","170","164","176",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","London","Region","16+","92.6","90.7","94.6","1171","1147","1196",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","South East","Region","16+","97.1","95.1","99.1","354","347","362",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","South West","Region","16+","96.9","92.9","100","79","76","82",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","Wales","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","Scotland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","Northern Ireland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","16+","91.2","89.4","93","1352","1325","1378",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","North East","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","North West","Region","16+","93.9","88.2","99.6","90","85","96",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","90.5","81.8","99.3","50","45","55",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","East Midlands","Region","16+","96","91.2","100","92","87","96",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","West Midlands","Region","16+","87.5","81.7","93.3","145","135","154",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","East of England","Region","16+","88.8","80.5","97.1","81","73","88",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","London","Region","16+","89.9","87.1","92.7","702","680","723",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","South East","Region","16+","97.5","93.7","100","89","86","93",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","South West","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","Wales","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","Scotland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","Northern Ireland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","16-24","99.3","99","99.5","6991","6973","7009",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","25-34","99.2","99","99.5","8888","8868","8908",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","35-44","98.6","98.3","98.9","8139","8116","8163",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","45-54","96.8","96.4","97.2","8809","8773","8845",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","55-64","91.8","91.2","92.4","7185","7136","7234",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","65-74","80.2","79.3","81.1","5261","5200","5322",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","75+","43.6","41.6","45.6","2262","2159","2365",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","16-24","99.3","99","99.6","5805","5790","5821",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","25-34","99.4","99.2","99.6","7476","7460","7493",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","35-44","98.9","98.7","99.2","6742","6723","6760",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","45-54","97","96.6","97.4","7824","7791","7857",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","55-64","92.1","91.5","92.8","6678","6632","6724",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","65-74","80.6","79.7","81.6","5105","5046","5164",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","75+","43.9","41.9","46","2195","2093","2297",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","16-24","100","?","?","303","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","25-34","98.4","96.6","100","305","300","311",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","35-44","96.9","94.6","99.1","312","305","320",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","45-54","98.4","96.4","100","207","203","212",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","55-64","89.9","83.5","96.3","104","97","112",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","65-74","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","75+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","UK","16-24","99.7","99","100","623","619","627",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","UK","25-34","98.7","97.7","99.7","826","818","835",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","UK","35-44","96.9","95.5","98.3","783","772","795",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","UK","45-54","94.7","92.4","97","476","465","488",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","UK","55-64","84.3","79.6","88.9","240","227","254",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","UK","65-74","63.1","54.1","72.1","77","66","88",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","UK","75+","41","28.4","53.6","37","26","49",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","16-24","97.2","94.5","99.9","260","253","267",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","25-34","98.2","96.1","100","280","274","286",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","35-44","97.2","95","99.4","302","295","309",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","45-54","95.6","92.8","98.3","301","292","309",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","55-64","90.3","85.2","95.3","162","153","172",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","65-74","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","75+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2019","Year","All","All","UK","UK","16+","90.8","90.5","91.1","48098","47946","48249",""
"Used the internet in the last 3 months","2019","Year","All","All","North East","Region","16+","87.7","86.1","89.2","1871","1838","1905",""
"Used the internet in the last 3 months","2019","Year","All","All","North West","Region","16+","90","89.1","90.9","5198","5145","5252",""
"Used the internet in the last 3 months","2019","Year","All","All","Yorkshire and the Humber","Region","16+","89.8","88.8","90.9","3908","3863","3953",""
"Used the internet in the last 3 months","2019","Year","All","All","East Midlands","Region","16+","89.9","88.8","91","3439","3396","3481",""
"Used the internet in the last 3 months","2019","Year","All","All","West Midlands","Region","16+","88.7","87.6","89.7","4125","4076","4174",""
"Used the internet in the last 3 months","2019","Year","All","All","East of England","Region","16+","92","91.1","92.9","4552","4508","4596",""
"Used the internet in the last 3 months","2019","Year","All","All","London","Region","16+","93","92.2","93.9","6571","6511","6631",""
"Used the internet in the last 3 months","2019","Year","All","All","South East","Region","16+","93","92.3","93.7","6755","6704","6806",""
"Used the internet in the last 3 months","2019","Year","All","All","South West","Region","16+","92.3","91.4","93.1","4165","4125","4205",""
"Used the internet in the last 3 months","2019","Year","All","All","Wales","Region","16+","89.6","88.2","91","2264","2229","2299",""
"Used the internet in the last 3 months","2019","Year","All","All","Scotland","Region","16+","89.6","88.5","90.6","3979","3932","4026",""
"Used the internet in the last 3 months","2019","Year","All","All","Northern Ireland","Region","16+","86.7","85.5","87.9","1271","1253","1288",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","UK","UK","16+","90.5","90.2","90.8","42296","42153","42438",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","North East","Region","16+","87.7","86.1","89.3","1789","1757","1822",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","North West","Region","16+","89.8","88.8","90.8","4694","4643","4745",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","89.6","88.5","90.7","3542","3498","3585",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","East Midlands","Region","16+","89.9","88.8","91.1","3092","3052","3131",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","West Midlands","Region","16+","88.4","87.2","89.6","3419","3374","3464",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","East of England","Region","16+","91.6","90.6","92.5","4204","4161","4248",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","London","Region","16+","93.3","92.2","94.3","4195","4149","4242",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","South East","Region","16+","92.4","91.7","93.2","6112","6062","6162",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","South West","Region","16+","92","91.1","93","4014","3974","4053",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","Wales","Region","16+","89.5","88","90.9","2171","2136","2205",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","Scotland","Region","16+","89.2","88.2","90.3","3825","3778","3871",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","Northern Ireland","Region","16+","86.5","85.4","87.7","1239","1222","1256",""
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","16+","95.1","93.6","96.6","1343","1322","1364",""
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","North East","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","North West","Region","16+","94.6","89.5","99.7","117","110","123",""
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","97.8","94.3","100","94","90","97",""
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","East Midlands","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","West Midlands","Region","16+","94.5","89.6","99.5","112","107","118",""
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","East of England","Region","16+","98.8","95.8","100","82","79","84",""
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","London","Region","16+","93.3","90.4","96.3","557","539","575",""
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","South East","Region","16+","99.5","98","100","146","143","148",""
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","South West","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","Wales","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","Scotland","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","Northern Ireland","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","UK","Region","16+","92.4","91.3","93.6","3083","3044","3121",""
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","North East","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","North West","Region","16+","89.9","85.8","93.9","295","282","309",""
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","89","84.4","93.6","225","214","237",""
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","East Midlands","Region","16+","88.3","83.1","93.4","215","203","228",""
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","West Midlands","Region","16+","86.8","83","90.5","424","405","442",""
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","East of England","Region","16+","95.1","91.5","98.7","186","179","193",""
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","London","Region","16+","94.7","92.9","96.5","1118","1096","1139",""
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","South East","Region","16+","97.4","95.5","99.4","373","365","380",""
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","South West","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","Wales","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","Scotland","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","Northern Ireland","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","UK","UK","16+","92.8","91","94.5","1376","1351","1402",""
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","North East","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","North West","Region","16+","97.6","93.8","100","92","89","96",""
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","East Midlands","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","West Midlands","Region","16+","96.1","92.7","99.5","170","164","176",""
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","East of England","Region","16+","100","100","100","80","80","80",""
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","London","Region","16+","88.9","85.8","92.1","701","676","725",""
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","South East","Region","16+","99.2","97.2","100","124","122","126",""
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","South West","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","Wales","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","Scotland","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","Northern Ireland","Region","16+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","All","All","UK","UK","16-24","99.2","98.9","99.5","6873","6854","6892",""
"Used the internet in the last 3 months","2019","Year","All","All","UK","UK","25-34","99.4","99.2","99.6","8889","8870","8907",""
"Used the internet in the last 3 months","2019","Year","All","All","UK","UK","35-44","98.9","98.6","99.2","8238","8217","8259",""
"Used the internet in the last 3 months","2019","Year","All","All","UK","UK","45-54","97.5","97.1","97.9","8801","8768","8834",""
"Used the internet in the last 3 months","2019","Year","All","All","UK","UK","55-64","93.2","92.6","93.8","7490","7443","7537",""
"Used the internet in the last 3 months","2019","Year","All","All","UK","UK","65-74","83.2","82.3","84","5336","5280","5392",""
"Used the internet in the last 3 months","2019","Year","All","All","UK","UK","75+","46.8","44.7","48.8","2471","2363","2578",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","UK","UK","16-24","99.2","98.9","99.5","5681","5664","5698",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","UK","UK","25-34","99.4","99.2","99.6","7495","7479","7511",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","UK","UK","35-44","99.1","98.9","99.4","6767","6750","6784",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","UK","UK","45-54","97.9","97.5","98.2","7811","7782","7839",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","UK","UK","55-64","93.5","92.9","94.1","6976","6931","7020",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","UK","UK","65-74","83.8","82.9","84.7","5176","5122","5230",""
"Used the internet in the last 3 months","2019","Year","White","White,Asian,Black and Other","UK","UK","75+","47.6","45.5","49.7","2391","2286","2496",""
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","16-24","99.1","97.7","100","321","316","325",""
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","25-34","99.2","97.9","100","357","352","361",""
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","35-44","96.4","93.9","98.9","317","309","325",""
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","45-54","93","88.8","97.3","209","199","218",""
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","55-64","95.2","90.4","100","105","99","110",""
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","65-74","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","75+","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","UK","UK","16-24","99.4","98.6","100","602","597","607",""
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","UK","UK","25-34","99.1","98.2","100","735","728","742",""
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","UK","UK","35-44","98.4","97.3","99.4","864","855","873",""
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","UK","UK","45-54","94.3","92","96.7","510","498","523",""
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","UK","UK","55-64","83.6","78.5","88.8","231","217","245",""
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","UK","UK","65-74","64.8","56.5","73.1","99","86","111",""
"Used the internet in the last 3 months","2019","Year","Asian","White,Asian,Black and Other","UK","UK","75+","29.9","18.5","41.2","42","26","58",""
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","UK","UK","16-24","98.5","96.5","100","270","264","275",""
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","UK","UK","25-34","99.6","98.7","100","303","300","306",""
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","UK","UK","35-44","98","96.1","100","290","284","296",""
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","UK","UK","45-54","96","93.1","98.9","271","263","279",""
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","UK","UK","55-64","94.5","90.6","98.4","179","171","186",""
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","UK","UK","65-74","?","?","?","?","?","?","Suppressed"
"Used the internet in the last 3 months","2019","Year","Black","White,Asian,Black and Other","UK","UK","75+","?","?","?","?","?","?","Suppressed"
