"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Local Authority","Number","%","Number","%","Number","%","Number","%","Number","%","Number","%"
"Barking and Dagenham","0","0.00","3","0.03","0","0.00","3","0.09","11","0.07","2","0.27"
"Barnet","1","0.01","5","0.08","0","0.00","5","0.08","12","0.04","6","0.10"
"Barnsley","0","0.00","0","0.00","0","0.00","1","0.13","44","0.14","0","0.00"
"Bath and North East Somerset","0","0.00","3","1.32","0","0.00","3","0.22","23","0.10","0","0.00"
"Bedford","5","0.11","10","0.62","0","0.00","12","0.43","27","0.14","0","0.00"
"Bexley","1","0.03","6","0.08","1","0.17","4","0.13","41","0.15","1","0.17"
"Birmingham","34","0.05","46","0.19","0","0.00","33","0.20","99","0.14","6","0.06"
"Blackburn with Darwen","1","0.01","0","0.00","0","0.00","1","0.11","7","0.05","0","0.00"
"Blackpool","0","0.00","0","0.00","0","0.00","3","0.50","39","0.22","0","0.00"
"Bolton","4","0.03","2","0.07","0","0.00","4","0.20","67","0.21","0","0.00"
"Bournemouth","1","0.12","0","0.00","0","0.00","8","0.51","42","0.21","0","0.00"
"Bracknell Forest","0","0.00","1","0.19","0","0.00","0","0.00","15","0.10","0","0.00"
"Bradford","9","0.02","0","0.00","0","0.00","1","0.02","15","0.03","0","0.00"
"Brent","4","0.03","15","0.14","0","0.00","1","0.03","3","0.03","4","0.08"
"Brighton and Hove","0","0.00","0","0.00","0","0.00","2","0.06","9","0.04","0","0.00"
"Bristol City of","0","0.00","4","0.06","0","0.00","2","0.04","8","0.02","0","0.00"
"Bromley","1","0.03","7","0.14","0","0.00","7","0.13","41","0.12","1","0.15"
"Buckinghamshire","7","0.05","3","0.14","0","0.00","8","0.13","46","0.08","1","0.19"
"Bury","4","0.09","3","0.42","0","0.00","3","0.22","45","0.20","1","0.28"
"Calderdale","2","0.03","1","0.32","0","0.00","1","0.07","38","0.14","0","0.00"
"Cambridgeshire","0","0.00","1","0.10","0","0.00","0","0.00","6","0.01","0","0.00"
"Camden","2","0.05","2","0.05","0","0.00","4","0.15","11","0.13","2","0.14"
"Central Bedfordshire","1","0.09","3","0.28","0","0.00","7","0.27","44","0.11","0","0.00"
"Cheshire East","1","0.11","1","0.45","0","0.00","4","0.22","36","0.07","0","0.00"
"Cheshire West and Chester","0","0.00","1","0.49","0","0.00","1","0.08","22","0.05","0","0.00"
"City of London","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Cornwall","0","0.00","1","1.69","0","0.00","0","0.00","71","0.10","0","0.00"
"Coventry","0","0.00","8","0.13","0","0.00","11","0.30","50","0.15","1","0.11"
"Croydon","4","0.04","18","0.11","0","0.00","7","0.08","6","0.03","0","0.00"
"Cumbria","0","0.00","0","0.00","0","0.00","3","0.28","85","0.13","0","0.00"
"Darlington","0","0.00","0","0.00","0","0.00","0","0.00","10","0.07","0","0.00"
"Derby","7","0.09","4","0.25","0","0.00","11","0.35","41","0.15","0","0.00"
"Derbyshire","0","0.00","1","0.27","0","0.00","7","0.24","168","0.17","0","0.00"
"Devon","0","0.00","0","0.00","0","0.00","5","0.23","96","0.10","1","0.13"
"Doncaster","1","0.07","1","0.18","0","0.00","1","0.07","38","0.09","0","0.00"
"Dorset","0","0.00","0","0.00","0","0.00","4","0.25","57","0.11","1","0.69"
"Dudley","4","0.08","6","0.47","0","0.00","12","0.38","68","0.19","2","0.23"
"Durham","0","0.00","0","0.00","0","0.00","2","0.19","86","0.12","0","0.00"
"Ealing","12","0.08","17","0.20","0","0.00","15","0.32","7","0.04","8","0.10"
"East Riding of Yorkshire","0","0.00","0","0.00","0","0.00","1","0.10","31","0.07","0","0.00"
"East Sussex","0","0.00","1","0.21","0","0.00","9","0.28","72","0.12","0","0.00"
"Enfield","4","0.08","17","0.12","0","0.00","11","0.18","19","0.07","4","0.12"
"Essex","1","0.02","6","0.09","0","0.00","8","0.08","78","0.04","0","0.00"
"Gateshead","1","0.14","1","0.24","0","0.00","2","0.35","53","0.21","0","0.00"
"Gloucestershire","1","0.04","4","0.32","0","0.00","8","0.20","110","0.14","0","0.00"
"Greenwich","1","0.03","4","0.03","0","0.00","2","0.04","5","0.03","0","0.00"
"Hackney","2","0.05","23","0.19","0","0.00","9","0.25","12","0.10","5","0.25"
"Halton","0","0.00","0","0.00","0","0.00","1","0.21","19","0.10","0","0.00"
"Hammersmith and Fulham","1","0.07","7","0.15","0","0.00","6","0.23","11","0.13","2","0.09"
"Hampshire","1","0.02","0","0.00","0","0.00","2","0.03","57","0.04","0","0.00"
"Haringey","0","0.00","13","0.14","0","0.00","5","0.11","7","0.04","1","0.04"
"Harrow","8","0.05","15","0.40","0","0.00","7","0.23","11","0.11","3","0.17"
"Hartlepool","0","0.00","0","0.00","0","0.00","0","0.00","11","0.08","0","0.00"
"Havering","1","0.04","5","0.11","0","0.00","3","0.11","28","0.10","0","0.00"
"Herefordshire","0","0.00","0","0.00","0","0.00","0","0.00","17","0.08","0","0.00"
"Hertfordshire","5","0.03","10","0.12","0","0.00","28","0.20","108","0.07","1","0.05"
"Hillingdon","3","0.02","8","0.15","0","0.00","7","0.12","24","0.11","4","0.10"
"Hounslow","8","0.06","11","0.21","0","0.00","5","0.13","8","0.05","4","0.09"
"Isle of Wight","0","0.00","0","0.00","0","0.00","0","0.00","13","0.08","0","0.00"
"Isles Of Scilly","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Islington","2","0.09","5","0.09","0","0.00","8","0.21","9","0.09","1","0.06"
"Kensington and Chelsea","0","0.00","6","0.26","0","0.00","5","0.23","6","0.12","4","0.19"
"Kent","0","0.00","1","0.02","0","0.00","3","0.02","33","0.02","0","0.00"
"Kingston upon Hull City of","0","0.00","0","0.00","0","0.00","1","0.07","42","0.12","0","0.00"
"Kingston upon Thames","2","0.04","1","0.12","0","0.00","1","0.04","2","0.01","0","0.00"
"Kirklees","3","0.02","2","0.15","0","0.00","11","0.25","53","0.13","2","0.30"
"Knowsley","0","0.00","0","0.00","0","0.00","1","0.23","11","0.06","0","0.00"
"Lambeth","0","0.00","24","0.16","0","0.00","14","0.26","1","0.01","3","0.16"
"Lancashire","19","0.10","0","0.00","0","0.00","14","0.26","287","0.20","1","0.13"
"Leeds","0","0.00","1","0.01","0","0.00","1","0.01","1","0.00","0","0.00"
"Leicester","7","0.03","2","0.04","0","0.00","4","0.10","8","0.04","0","0.00"
"Leicestershire","0","0.00","0","0.00","0","0.00","2","0.04","25","0.03","0","0.00"
"Lewisham","1","0.04","26","0.18","0","0.00","8","0.13","11","0.08","0","0.00"
"Lincolnshire","0","0.00","0","0.00","0","0.00","2","0.07","99","0.10","0","0.00"
"Liverpool","3","0.10","6","0.19","0","0.00","9","0.23","69","0.12","1","0.04"
"Luton","17","0.10","10","0.25","0","0.00","6","0.19","22","0.18","0","0.00"
"Manchester","10","0.05","20","0.14","0","0.00","16","0.22","58","0.16","1","0.02"
"Medway","0","0.00","3","0.11","0","0.00","4","0.14","49","0.13","0","0.00"
"Merton","1","0.02","3","0.07","0","0.00","1","0.03","4","0.03","0","0.00"
"Middlesbrough","0","0.00","0","0.00","0","0.00","1","0.08","40","0.21","0","0.00"
"Milton Keynes","0","0.00","1","0.02","0","0.00","0","0.00","9","0.03","0","0.00"
"Newcastle upon Tyne","5","0.10","0","0.00","0","0.00","2","0.12","44","0.15","0","0.00"
"Newham","11","0.04","16","0.12","0","0.00","3","0.07","5","0.05","2","0.06"
"Norfolk","0","0.00","1","0.09","0","0.00","9","0.25","199","0.19","0","0.00"
"North East Lincolnshire","0","0.00","0","0.00","0","0.00","1","0.16","40","0.18","0","0.00"
"North Lincolnshire","1","0.11","0","0.00","0","0.00","1","0.22","23","0.10","1","0.59"
"North Somerset","1","0.27","0","0.00","0","0.00","4","0.39","39","0.14","0","0.00"
"North Tyneside","0","0.00","0","0.00","0","0.00","0","0.00","18","0.06","0","0.00"
"North Yorkshire","1","0.07","0","0.00","0","0.00","5","0.25","89","0.11","0","0.00"
"Northamptonshire","0","0.00","4","0.07","0","0.00","10","0.16","105","0.11","1","0.13"
"Northumberland","0","0.00","0","0.00","0","0.00","4","0.51","80","0.18","0","0.00"
"Nottingham","3","0.04","3","0.06","0","0.00","11","0.19","41","0.17","1","0.08"
"Nottinghamshire","0","0.00","0","0.00","0","0.00","3","0.06","40","0.04","0","0.00"
"Oldham","22","0.15","0","0.00","0","0.00","2","0.10","21","0.09","0","0.00"
"Oxfordshire","2","0.04","2","0.08","0","0.00","4","0.07","34","0.04","0","0.00"
"Peterborough","3","0.05","1","0.08","0","0.00","3","0.13","31","0.12","0","0.00"
"Plymouth","1","0.24","0","0.00","0","0.00","0","0.00","39","0.11","0","0.00"
"Poole","0","0.00","0","0.00","0","0.00","2","0.24","36","0.20","0","0.00"
"Portsmouth","0","0.00","1","0.12","0","0.00","2","0.15","16","0.08","0","0.00"
"Reading","1","0.02","2","0.10","0","0.00","3","0.13","13","0.11","0","0.00"
"Redbridge","14","0.05","7","0.11","0","0.00","5","0.12","12","0.09","0","0.00"
"Redcar and Cleveland","0","0.00","0","0.00","0","0.00","0","0.00","53","0.25","0","0.00"
"Richmond upon Thames","0","0.00","1","0.12","0","0.00","2","0.07","7","0.04","0","0.00"
"Rochdale","5","0.06","2","0.14","0","0.00","5","0.29","48","0.21","0","0.00"
"Rotherham","2","0.06","0","0.00","0","0.00","2","0.15","34","0.09","0","0.00"
"Rutland","0","0.00","0","0.00","0","0.00","0","0.00","3","0.06","0","0.00"
"Salford","1","0.09","0","0.00","0","0.00","4","0.15","55","0.19","0","0.00"
"Sandwell","7","0.04","15","0.27","0","0.00","18","0.36","40","0.14","1","0.07"
"Sefton","0","0.00","0","0.00","0","0.00","2","0.20","37","0.10","0","0.00"
"Sheffield","8","0.08","1","0.02","0","0.00","30","0.50","83","0.15","0","0.00"
"Shropshire","0","0.00","0","0.00","0","0.00","1","0.11","58","0.16","0","0.00"
"Slough","2","0.01","2","0.08","0","0.00","1","0.04","4","0.05","0","0.00"
"Solihull","4","0.09","2","0.23","0","0.00","10","0.32","40","0.14","1","0.34"
"Somerset","0","0.00","0","0.00","0","0.00","1","0.06","108","0.16","1","0.41"
"South Gloucestershire","0","0.00","4","0.57","0","0.00","5","0.25","46","0.13","0","0.00"
"South Tyneside","0","0.00","0","0.00","0","0.00","2","0.44","34","0.17","0","0.00"
"Southampton","0","0.00","0","0.00","0","0.00","2","0.10","8","0.03","0","0.00"
"Southend-on-Sea","0","0.00","2","0.12","0","0.00","2","0.11","12","0.05","0","0.00"
"Southwark","0","0.00","27","0.15","0","0.00","10","0.20","8","0.06","3","0.10"
"St. Helens","0","0.00","0","0.00","0","0.00","0","0.00","11","0.04","0","0.00"
"Staffordshire","6","0.12","2","0.24","0","0.00","6","0.15","146","0.14","0","0.00"
"Stockport","2","0.07","0","0.00","0","0.00","2","0.09","40","0.12","0","0.00"
"Stockton-on-Tees","0","0.00","1","0.26","0","0.00","1","0.11","38","0.14","0","0.00"
"Stoke-on-Trent","4","0.07","2","0.15","0","0.00","3","0.16","40","0.14","0","0.00"
"Suffolk","1","0.05","2","0.22","0","0.00","5","0.09","84","0.09","0","0.00"
"Sunderland","2","0.12","0","0.00","1","0.77","0","0.00","50","0.13","0","0.00"
"Surrey","1","0.01","1","0.04","0","0.00","5","0.05","62","0.05","0","0.00"
"Sutton","2","0.03","1","0.03","0","0.00","4","0.11","11","0.05","1","0.13"
"Swindon","1","0.03","0","0.00","0","0.00","2","0.10","30","0.11","0","0.00"
"Tameside","6","0.15","4","0.49","0","0.00","6","0.35","80","0.28","0","0.00"
"Telford and Wrekin","0","0.00","1","0.11","0","0.00","2","0.14","18","0.07","0","0.00"
"Thurrock","1","0.07","2","0.05","0","0.00","3","0.18","29","0.14","0","0.00"
"Torbay","0","0.00","0","0.00","0","0.00","3","0.48","46","0.25","0","0.00"
"Tower Hamlets","3","0.01","1","0.02","0","0.00","2","0.07","1","0.02","0","0.00"
"Trafford","4","0.07","8","0.54","0","0.00","12","0.39","42","0.15","0","0.00"
"Wakefield","2","0.10","2","0.29","0","0.00","2","0.12","61","0.13","0","0.00"
"Walsall","6","0.05","4","0.17","0","0.00","9","0.27","41","0.13","0","0.00"
"Waltham Forest","2","0.02","10","0.12","0","0.00","12","0.25","4","0.02","2","0.13"
"Wandsworth","1","0.02","9","0.12","0","0.00","3","0.07","5","0.04","1","0.07"
"Warrington","0","0.00","0","0.00","0","0.00","0","0.00","8","0.03","0","0.00"
"Warwickshire","1","0.02","0","0.00","0","0.00","2","0.05","70","0.10","0","0.00"
"West Berkshire","2","0.22","2","0.50","0","0.00","0","0.00","12","0.05","1","0.59"
"West Sussex","2","0.04","8","0.48","0","0.00","14","0.26","106","0.11","0","0.00"
"Westminster","1","0.03","8","0.19","0","0.00","1","0.04","0","0.00","4","0.07"
"Wigan","0","0.00","0","0.00","0","0.00","1","0.09","36","0.08","0","0.00"
"Wiltshire","0","0.00","1","0.11","0","0.00","3","0.13","18","0.03","0","0.00"
"Windsor and Maidenhead","0","0.00","0","0.00","0","0.00","2","0.11","13","0.08","0","0.00"
"Wirral","0","0.00","0","0.00","1","0.39","1","0.07","43","0.09","0","0.00"
"Wokingham","2","0.06","0","0.00","0","0.00","1","0.06","11","0.06","0","0.00"
"Wolverhampton","6","0.06","17","0.37","0","0.00","35","0.68","42","0.18","0","0.00"
"Worcestershire","1","0.03","0","0.00","0","0.00","10","0.35","72","0.10","2","0.64"
"York","0","0.00","0","0.00","0","0.00","0","0.00","5","0.02","0","0.00"
