"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","71,488","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","61,641","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","58,288","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","3,353","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","770","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","4,668","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","1,897","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","360","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","12,815","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","9,570","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","9,042","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","43","528","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","44","167","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","2,138","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","43","576","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","22","106","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","69,481","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","60,427","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","57,183","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","3,244","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","687","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","4,307","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","1,648","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","297","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","14,822","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","10,784","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","10,147","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","637","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","250","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","28","2,499","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","825","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","169","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","78,539","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","67,231","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","63,585","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","3,646","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","878","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","5,333","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","2,202","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","416","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","13,863","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","10,247","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","9,674","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","40","573","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","46","189","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","2,355","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","666","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","27","101","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","75,970","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","65,632","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","62,119","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","3,513","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","764","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","4,889","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","1,876","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","358","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","16,432","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","11,846","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","11,140","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","706","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","303","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","31","2,799","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","29","992","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","159","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","86,078","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","73,010","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","69,057","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","3,953","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","989","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","6,000","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","2,585","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","496","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","15,412","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","11,300","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","10,647","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","43","653","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","41","212","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","2,661","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","767","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","106","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","82,782","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","71,045","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","67,271","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","3,774","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","860","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","5,370","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","16","2,140","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","424","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","18,708","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","13,265","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","12,433","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","832","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","26","341","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","31","3,291","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","1,212","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2014-2015 to 2017-2018","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","20","178","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","95,627","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","80,482","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","75,938","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","4,544","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","1,099","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","6,858","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","3,003","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","557","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","17,079","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","12,277","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","11,587","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","38","690","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","44","254","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","3,044","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","38","925","","","",""
